LB_MAL8_blanked,LB_MAL10_blanked,LB_MAL1_blanked,LB_MAL5_blanked,LB_MAL4_blanked,LB_LCY1_blanked,TIME[H]
1.626233333333333,1.5436333333333332,1.6428666666666667,1.633833333333333,1.3885666666666667,1.6621333333333335,36.248983055555556
1.6260999999999999,1.5462,1.6436000000000002,1.6369333333333334,1.4041333333333335,1.6665,36.49897555555556
1.6296333333333335,1.5483333333333333,1.6462666666666668,1.638,1.3956,1.6703999999999999,36.74897055555555
1.6301333333333332,1.5497666666666665,1.6462333333333332,1.6391666666666664,1.4146333333333332,1.6748333333333334,36.99896527777778
1.6310666666666669,1.552433333333333,1.6475666666666666,1.6394666666666666,1.400233333333333,1.6726666666666667,37.24895527777778
1.6323333333333336,1.5524333333333333,1.649633333333333,1.6416999999999997,1.4026666666666667,1.6706333333333332,37.49894916666667
1.6322666666666665,1.5560666666666665,1.6499000000000001,1.6434333333333333,1.4081333333333332,1.6771999999999998,37.74894055555555
1.6353333333333333,1.558533333333333,1.6516666666666668,1.6444666666666665,1.4171,1.6766,37.998936666666665
1.6347666666666667,1.5603666666666665,1.6514999999999997,1.6470333333333331,1.4278333333333335,1.6792333333333336,38.248929999999994
1.6352333333333333,1.5583999999999998,1.652,1.6470666666666662,1.44,1.6767666666666665,38.49892
1.6384,1.5612666666666668,1.6544333333333336,1.6490000000000002,1.4316666666666666,1.6792666666666667,38.748913611111114
1.6349,1.562766666666667,1.6506333333333334,1.6486,1.4216333333333333,1.6804000000000001,38.99890611111111
1.6380333333333335,1.5641333333333334,1.654633333333333,1.6518666666666668,1.4210666666666665,1.6833,39.24890277777777
1.6386666666666667,1.5654,1.6532000000000002,1.6508333333333332,1.439,1.688,39.49889305555556
1.6386,1.5681333333333334,1.6544333333333332,1.6523666666666668,1.4367999999999999,1.6939666666666664,39.74888583333333
1.6397000000000002,1.5687999999999998,1.6562999999999999,1.6551333333333331,1.4451,1.6923666666666666,39.99888222222222
1.6395333333333337,1.5732666666666666,1.655966666666667,1.6583999999999997,1.4366999999999999,1.6997333333333335,40.2488725
1.6390333333333331,1.5742333333333332,1.6564666666666665,1.6596999999999997,1.435833333333333,1.7007666666666668,40.49886527777778
1.6398333333333333,1.5721333333333332,1.6560333333333332,1.6590333333333334,1.4304000000000001,1.698133333333333,40.74886055555555
1.6407000000000003,1.575333333333333,1.6554666666666669,1.660233333333333,1.4368333333333336,1.6958333333333333,40.99885277777778
1.6404666666666665,1.5774666666666666,1.6546333333333334,1.6611,1.4583666666666668,1.7003000000000001,41.248843888888885
1.6407666666666665,1.5781666666666667,1.6546666666666665,1.6635000000000004,1.4557666666666669,1.705133333333333,41.49884
1.641733333333333,1.5809666666666666,1.6561333333333335,1.6656666666666666,1.4533,1.7029666666666665,41.74883166666667
1.6408333333333331,1.5804999999999998,1.6549333333333336,1.6639666666666666,1.4438666666666666,1.7000666666666668,41.998823055555555
1.6405333333333334,1.5820333333333336,1.6536,1.6676333333333335,1.4650666666666667,1.7034333333333334,42.24881666666666
1.6442999999999997,1.5849333333333335,1.6537000000000004,1.6692,1.4446,1.706433333333333,42.49881055555555
1.6432,1.5838999999999999,1.6507666666666667,1.6682666666666666,1.4619999999999997,1.6969666666666667,42.748803055555555
1.6427666666666667,1.5870333333333333,1.6531999999999998,1.6703999999999997,1.4657333333333333,1.7089333333333332,42.99879666666667
1.6468333333333334,1.5893666666666666,1.6540333333333332,1.6732666666666667,1.4539666666666666,1.7112333333333334,43.24878861111111
1.6424666666666665,1.5890666666666666,1.6499333333333335,1.6725666666666665,1.4388666666666667,1.7147,43.49878527777778
1.642,1.5906000000000002,1.6492,1.6724,1.4504333333333332,1.7134,43.748775555555554
1.6421666666666668,1.590933333333333,1.6506333333333334,1.6745333333333332,1.4855666666666663,1.7176999999999998,43.99877472222222
1.6406999999999998,1.5910000000000002,1.6499666666666668,1.6731666666666665,1.4728666666666665,1.7184333333333335,44.24876166666666
1.6458666666666661,1.5949999999999998,1.6482666666666665,1.6776333333333335,1.4730999999999999,1.7156333333333333,44.498757222222224
1.6369333333333334,1.5955,1.6477666666666666,1.6778666666666662,1.4878333333333336,1.7137666666666664,44.74874722222222
1.6414333333333333,1.5967333333333331,1.6442999999999999,1.6787333333333332,1.4725,1.7156333333333331,44.99874277777777
1.6417333333333333,1.5992333333333333,1.6525,1.6799666666666668,1.4717,1.7205666666666668,45.248733611111106
1.6360333333333332,1.6018666666666665,1.6536999999999997,1.6826333333333334,1.5121333333333333,1.7197999999999998,45.49872694444444
1.6357999999999995,1.6025,1.6512000000000002,1.6827333333333332,1.4780333333333333,1.7167666666666666,45.74871916666667
1.6374666666666666,1.6051666666666664,1.6456,1.6854,1.4986666666666666,1.7276000000000002,45.998713055555555
1.6365,1.606166666666667,1.6485666666666667,1.6862,1.4854000000000003,1.7268999999999999,46.248704999999994
1.6371333333333338,1.6068333333333333,1.6402666666666668,1.6869333333333332,1.4912999999999998,1.7267666666666668,46.49869944444445
1.6297666666666668,1.6101333333333334,1.6353666666666666,1.6869666666666665,1.4908333333333335,1.7175,46.748691388888886
1.6316666666666664,1.6094,1.6332999999999998,1.6883999999999997,1.503966666666667,1.7233666666666667,46.998685
1.6267333333333334,1.6106000000000003,1.6366333333333332,1.6908333333333332,1.4774,1.7291333333333332,47.24867722222223
1.6254333333333335,1.6129666666666667,1.6226333333333334,1.6906666666666668,1.491866666666667,1.7295333333333331,47.49867444444445
1.6274,1.6137333333333332,1.6176666666666666,1.6925000000000003,1.4904,1.73,47.74866361111111
1.6174333333333335,1.6124333333333332,1.6074,1.6907666666666665,1.4906666666666668,1.7263333333333333,47.99865749999999
1.6149666666666667,1.6149666666666667,1.5978666666666668,1.6924333333333332,1.4675666666666667,1.7324333333333337,48.24865138888889
1.6142333333333334,1.6179666666666668,1.596566666666667,1.6948666666666667,1.4642333333333335,1.7349333333333332,48.498648055555556
1.6124666666666667,1.6197000000000001,1.5885666666666667,1.6951333333333332,1.4672333333333332,1.7388333333333335,48.748639999999995
1.610566666666667,1.6209666666666667,1.5942,1.6973,1.4558999999999997,1.7304666666666668,48.99863305555556
1.607566666666667,1.6209666666666669,1.5711333333333333,1.6952333333333331,1.4577,1.7312333333333336,49.24862638888889
1.5954666666666668,1.6233333333333335,1.5596333333333332,1.6974666666666671,1.4644,1.7336999999999998,49.49861611111111
1.5969,1.623966666666667,1.5500333333333334,1.6993666666666665,1.4678,1.7316666666666667,49.74860916666666
1.6025333333333331,1.6251333333333329,1.5307666666666668,1.6990999999999998,1.4772000000000003,1.7366,49.998602777777776
1.5963666666666667,1.6254333333333333,1.5226,1.6994999999999998,1.4665,1.7336666666666665,50.24859555555555
1.5938666666666668,1.6282666666666665,1.5202333333333333,1.7006333333333337,1.4552333333333334,1.7331666666666665,50.49858861111111
1.587966666666667,1.6292,1.5096666666666665,1.7027999999999999,1.4403000000000001,1.7312999999999996,50.74858277777778
1.5814333333333335,1.6306000000000003,1.5050000000000001,1.7040666666666668,1.4320333333333333,1.7374,50.998577499999996
