H2O_MAL8_blanked,H2O_MAL10_blanked,H2O_MAL1_blanked,H2O_MAL5_blanked,H2O_MAL4_blanked,H2O_LCY1_blanked,TIME[H]
0.11770000000000003,0.003433333333333344,0.018066666666666648,0.0,0.0,0.0,57.99838472222222
0.11970000000000003,0.0065000000000000335,0.0218666666666667,0.0,0.0,0.0,58.248377500000004
0.11816666666666661,0.004399999999999987,0.019166666666666693,0.0,0.0,0.0,58.49837388888889
0.11879999999999996,0.0040999999999999925,0.0189,0.0,0.0,0.0,58.74836833333333
0.11756666666666671,0.003966666666666674,0.019000000000000017,0.0,0.0,0.0,58.998359722222226
0.11933333333333335,0.004566666666666663,0.02049999999999999,0.0,0.0,0.0,59.24835416666667
0.11626666666666666,0.002466666666666645,0.018033333333333318,0.0,0.0,0.0,59.49834388888889
0.11843333333333333,0.00416666666666668,0.018733333333333324,0.0,0.0,0.0,59.74833722222222
0.12026666666666669,0.0068000000000000005,0.023399999999999976,0.0,0.0,0.0,59.998330833333334
0.11986666666666665,0.005333333333333357,0.021166666666666695,0.0,0.0,0.0,60.24832472222223
0.11836666666666665,0.003933333333333372,0.020366666666666672,0.0,0.0,0.0,60.49832083333333
0.11893333333333336,0.006733333333333341,0.021966666666666662,0.0,0.0,0.0,60.748310555555555
0.1180333333333333,0.00489999999999996,0.01959999999999998,0.0,0.0,0.0,60.99830444444444
0.11856666666666671,0.005500000000000005,0.021633333333333338,0.0,0.0,0.0,61.24829694444445
0.11586666666666662,0.003299999999999942,0.01799999999999996,0.0,0.0,0.0,61.49829277777778
0.1152,0.004266666666666696,0.019166666666666693,0.0,0.0,0.0,61.748286111111106
0.11493333333333336,0.0040333333333333055,0.018799999999999983,0.0,0.0,0.0,61.99827638888889
0.11539999999999997,0.003866666666666657,0.018833333333333313,0.0,0.0,0.0,62.24826944444444
0.11713333333333337,0.0042999999999999705,0.019666666666666638,0.0,0.0,0.0,62.498262499999996
0.11533333333333329,0.0026999999999999524,0.017999999999999988,0.0,0.0,0.0,62.74825583333333
0.11483333333333332,0.0033666666666666567,0.019366666666666643,0.0,0.0,0.0,62.998248611111116
0.11623333333333333,0.0036333333333333218,0.01943333333333333,0.0,0.0,0.0,63.24824222222222
0.1168666666666667,0.0035999999999999643,0.01959999999999998,0.0,0.0,0.0,63.498235
0.1152,0.0031666666666666232,0.01913333333333328,0.0,0.0,0.0,63.74822833333334
0.11659999999999995,0.004033333333333361,0.020233333333333325,0.0,0.0,0.0,63.998220833333335
0.11643333333333336,0.005500000000000005,0.020633333333333337,0.0,0.0,0.0,64.24821805555555
0.11473333333333333,0.003500000000000003,0.020366666666666672,0.0,0.0,0.0,64.49820833333332
0.1149666666666666,0.0038333333333333275,0.01956666666666662,0.0,0.0,0.0,64.74819972222222
0.11666666666666667,0.0043999999999999595,0.02053333333333332,0.0,0.0,0.0,64.99819583333334
