strain,A_mean,A_ci_low,A_ci_high,mu_mean,mu_ci_low,mu_ci_high,mu_ci_width,lam_mean,lam_ci_low,lam_ci_high,r2_mean,r2_ci_low,r2_ci_high,p_good,n_successful
IMIDACLOPRIDANDLB-IMID5,1.5223267674443386,1.502353676826985,1.5412937841288474,0.06723060678420066,0.06577228778218386,0.06870161248816294,0.002929324705979078,1.3900953338184754,1.1558030135387158,1.5995649962160643,0.9965286712981816,0.9956528799811935,0.9973560652491075,1.0,1000
IMIDACLOPRIDANDLB-IMID8,1.1498546638790264,1.129026951662944,1.1720921157164577,0.12734076895691762,0.12369814834986298,0.13110702571791968,0.007408877368056704,2.1503866191583985,2.0325301932239537,2.2570603200726045,0.9981577893182187,0.9975289344044412,0.9987588191014545,1.0,1000
H2O-IMID2,0.15844450550248615,0.1457836851515284,0.1740525623340804,0.009352618689078657,0.00907641431735637,0.009719863707739237,0.0006434493903828675,0.03853875031531628,1.1772687117383533e-26,0.23584522118035084,0.9863558065201453,0.9794767192770372,0.9925781242938327,1.0,1000
PERMETHRIN-PERM4,0.11544509941598878,0.1134650482686681,0.11750671067287606,0.006011897629891735,0.005836787507063665,0.006184832474556048,0.0003480449674923827,14.87419100849361,14.624393746277415,15.136900404356775,0.9958114594007281,0.9944130672550203,0.9970900661802075,1.0,1000
PERMETHRIN-PERM7,0.2077051541180968,0.20529098424598824,0.21009768447124294,0.010852958962704799,0.010670888774921677,0.011050900126365636,0.00038001135144395855,14.982290531081057,14.840421408004307,15.14441426115543,0.9986782315266589,0.9981710836044813,0.9990937532500971,1.0,1000
LAMBDACYHALOTHRINANDLB-LCY3,1.103843201064405,1.092012698968666,1.1157888622072372,0.08849063054703053,0.08614899737432667,0.09095916652981687,0.004810169155490193,3.8144199841404394,3.6509587919614117,3.9760606351113386,0.9974088311199557,0.9969016661963724,0.997852678040814,1.0,1000
PERMETHRINANDLB-PERM4,1.5817199959164991,1.546671507093348,1.622492999741832,0.1971035687186015,0.18472761102926316,0.21016001386529098,0.025432402836027823,2.0381893429826192,1.7888917443477128,2.278319457802846,0.9891520616331797,0.985546883871076,0.9924915007020345,1.0,1000
PERMETHRINANDLB-CYPERM2,0.8071075482481631,0.7982190192205734,0.816524204071278,0.020519547180265,0.020299305842427638,0.020740691923301503,0.0004413860808738651,45.700723288053865,45.53492458507593,45.858401223380056,0.9989079031779722,0.9987040888817577,0.9991011688684056,1.0,1000
PERMETHRINANDLB-PERM7,1.6208890000912892,1.589097508813202,1.6552502975798575,0.18480111669855592,0.17504429014122902,0.1949564368952412,0.019912146754012178,0.6546563287143895,0.41575282849635253,0.8651584566081899,0.9910601491246557,0.9882075274933041,0.9938162636284319,1.0,1000
LB-PERM4,1.5817199959164991,1.546671507093348,1.622492999741832,0.1971035687186015,0.18472761102926316,0.21016001386529098,0.025432402836027823,2.0381893429826192,1.7888917443477128,2.278319457802846,0.9891520616331797,0.985546883871076,0.9924915007020345,1.0,1000
LB-PERM7,1.6208890000912892,1.589097508813202,1.6552502975798575,0.18480111669855592,0.17504429014122902,0.1949564368952412,0.019912146754012178,0.6546563287143895,0.41575282849635253,0.8651584566081899,0.9910601491246557,0.9882075274933041,0.9938162636284319,1.0,1000
LB-LCY3,1.103843201064405,1.092012698968666,1.1157888622072372,0.08849063054703053,0.08614899737432667,0.09095916652981687,0.004810169155490193,3.8144199841404394,3.6509587919614117,3.9760606351113386,0.9974088311199557,0.9969016661963724,0.997852678040814,1.0,1000
