strain,group,method,trunc_idx,trunc_time,n_points,fit_success,r_squared,rmse,gompertz_A,gompertz_mu,gompertz_lambda,a_err_pct,mu_err_pct
LB-BIF6,Group1,consensus,92.0,22.999275555555556,93.0,True,0.9877164048830186,0.05440936359481591,1.625560151945049,0.1544645376749651,0.06354667697544489,0.7401573652131227,2.7000842291018343
LB-BIF9,Group1,first_peak,95.0,23.749256666666664,96.0,True,0.9891961572165936,0.051629125075405624,1.6260780114585782,0.16685221407598655,0.3141993244396556,0.6212204762046085,2.5392137988466428
LB-BIF9,Group1,stationary_phase,76.0,18.999383611111114,77.0,True,0.9871655193545725,0.05714689140928122,1.6123984605270092,0.16915132456201834,0.353878738930835,0.9959495070573736,3.0845748878463546
LB-BIF9,Group1,adaptive_r2,91.0,22.749285277777776,92.0,True,0.9888840926308917,0.05263036667004758,1.6236420577318396,0.1672953333403476,0.32216888466962973,0.6757988856937966,2.629793539134736
LB-BIF9,Group1,gp_derivative,92.0,22.999275555555556,93.0,True,0.9889656810594935,0.05237585013568885,1.6242996843549808,0.16717710085336246,0.32005653383729327,0.6613533997290836,2.606258753950484
LB-BIF9,Group1,changepoint,,,,False,,,,,,,
LB-BIF9,Group1,consensus,92.0,22.999275555555556,93.0,True,0.9889656810594935,0.05237585013568885,1.6242996843549808,0.16717710085336246,0.32005653383729327,0.6613533997290836,2.606258753950484
LB-FLUPC8,Group1,first_peak,51.0,12.74955638888889,52.0,True,0.9796219346939087,0.08613158471377132,1.4088237126763992,0.7947820293944562,3.4705762635206048,1.2585603899723792,10.065087498597766
LB-FLUPC8,Group1,stationary_phase,56.0,13.999524166666664,57.0,True,0.978936634452436,0.08712046058890581,1.4317135794502323,0.7165868536333342,3.385070243142956,1.1652507402388543,9.404428026300856
LB-FLUPC8,Group1,adaptive_r2,39.0,9.749640833333334,40.0,True,0.9850701270785254,0.07205186288409443,1.3243941421946666,1.117949570793807,3.695084294682222,1.4004433310932536,11.067738397628462
LB-FLUPC8,Group1,gp_derivative,20.0,4.999768055555556,21.0,True,0.9518350995143267,0.07883622850300716,1.594820247033494,1.04494344808016,3.671680280863691,22.687084560370423,14.431799845711831
LB-FLUPC8,Group1,changepoint,,,,False,,,,,,,
LB-FLUPC8,Group1,consensus,51.0,12.74955638888889,52.0,True,0.9796219346939087,0.08613158471377132,1.4088237126763992,0.7947820293944562,3.4705762635206048,1.2585603899723792,10.065087498597766
Bifenthrin-BIF6,Group1,first_peak,95.0,23.749256666666664,96.0,True,0.9879183391796452,0.053869637635261786,1.6298124170612045,0.15374334494973155,0.04790504638561354,0.6978659480918467,2.634278092273955
Bifenthrin-BIF6,Group1,stationary_phase,87.0,21.74930888888889,88.0,True,0.9873549073113296,0.05528394244570898,1.6170339880219948,0.15586841667009016,0.09309608434785543,0.8204710244212009,2.8194511247494707
Bifenthrin-BIF6,Group1,adaptive_r2,91.0,22.749285277777776,92.0,True,0.9876470420255155,0.05458614707683668,1.6240010769663626,0.15472517603826957,0.06912055147238177,0.7551667259752117,2.722915181777131
Bifenthrin-BIF6,Group1,gp_derivative,92.0,22.999275555555556,93.0,True,0.9877164048830186,0.05440936359481591,1.625560151945049,0.1544645376749651,0.06354667697544489,0.7401573652131227,2.7000842291018343
Bifenthrin-BIF6,Group1,changepoint,,,,False,,,,,,,
Bifenthrin-BIF6,Group1,consensus,92.0,22.999275555555556,93.0,True,0.9877164048830186,0.05440936359481591,1.625560151945049,0.1544645376749651,0.06354667697544489,0.7401573652131227,2.7000842291018343
LAMBDACYHALOTHRIN-LCY1,Group2,first_peak,317.0,79.24781361111111,318.0,True,0.9985240215014379,0.00022518957166398,0.034106141994523324,0.12806302595205538,76.728490482164,0.22582798328663536,2.081097718884071
LAMBDACYHALOTHRIN-LCY1,Group2,stationary_phase,340.0,84.9976561111111,341.0,True,0.99255461930302,0.0009668355697595293,0.03812686110725183,0.10030797835597677,76.71162713338201,0.4572436826268203,7.2171515492766
LAMBDACYHALOTHRIN-LCY1,Group2,adaptive_r2,399.0,99.74725277777776,400.0,True,0.9904324966613323,0.0017118991010569209,0.04202977685893196,0.028340176763901284,76.33025831952432,0.4470172353206546,6.955976494702111
LAMBDACYHALOTHRIN-LCY1,Group2,gp_derivative,312.0,77.99784861111111,313.0,True,0.9999470919735378,2.952863960230998e-05,0.03325795652475699,0.13385788137037924,76.72923691543026,0.046373661601172095,0.3036998517011736
LAMBDACYHALOTHRIN-LCY1,Group2,changepoint,,,,False,,,,,,,
LAMBDACYHALOTHRIN-LCY1,Group2,consensus,317.0,79.24781361111111,318.0,True,0.9985240215014379,0.00022518957166398,0.034106141994523324,0.12806302595205538,76.728490482164,0.22582798328663536,2.081097718884071
LAMBDACYHALOTHRINANDLB-LCY1,Group2,first_peak,79.0,19.74942805555556,80.0,True,0.998640365771174,0.02218456870305555,1.603201134435136,0.1833913124815749,3.844155039990735,0.4594349559833272,1.2387666648676159
LAMBDACYHALOTHRINANDLB-LCY1,Group2,stationary_phase,95.0,23.74932111111111,96.0,True,0.9986005227135263,0.023032147041816185,1.631136532301197,0.1789469019681449,3.7803580659996103,0.32696007780260944,1.153663890769876
LAMBDACYHALOTHRINANDLB-LCY1,Group2,adaptive_r2,49.0,12.24963361111111,50.0,True,0.9998201152118305,0.006279622475437795,1.4247608991360503,0.20207863054957328,4.033929847693749,0.4722858422406367,0.5384382179003259
