strain,group,method,trunc_idx,trunc_time,n_points,fit_success,r_squared,rmse,gompertz_A,gompertz_mu,gompertz_lambda,a_err_pct,mu_err_pct,original_reason,delta_od
MALATHION-MAL1,Group2,consensus,60,14.999558333333336,61,True,0.9985031255635024,0.02245762563553498,1.4885208562780392,0.26521710176526425,3.4112417677819367,0.49321794375792705,1.6148892553085894,BAD: Low R²: 0.919 < 0.95,0.03462
H2O-IMID5,Group3,first_peak,226,56.49842666666667,227,True,0.9421263536756104,0.0012781027177189007,0.0159718705046538,0.0010000000000000002,3.926278304349191,0.8139730633024024,4.47592857926821,BAD: Low R²: 0.945 < 0.95,0.0185999999999999
H2O-IMID5,Group3,stationary_phase,158,39.498891944444445,159,True,0.9490937805121258,0.0011694898115451938,0.014719437867265147,0.0010000000000003873,3.4660227005061004,1.2168781046891886,4.924551117922276,BAD: Low R²: 0.945 < 0.95,0.0185999999999999
H2O-IMID5,Group3,adaptive_r2,117,29.249170555555555,118,True,0.9571925555837938,0.0009955268486598044,0.013283720177105475,0.0010000000000000002,3.063357087106381,1.7294745397869145,5.256869901711949,BAD: Low R²: 0.945 < 0.95,0.0185999999999999
H2O-IMID5,Group3,gp_derivative,142,35.498999999999995,143,True,0.9527738650775649,0.0011003666865600145,0.01421537267944386,0.001000000000000073,3.3098110915095873,1.3590339261829276,4.996877838612892,BAD: Low R²: 0.945 < 0.95,0.0185999999999999
H2O-IMID5,Group3,changepoint,125,31.24911861111111,126,True,0.9571587318430032,0.00101191451655808,0.013566126042699606,0.0010000000021498855,3.1322826375001935,1.5554993127134753,5.08062502497701,BAD: Low R²: 0.945 < 0.95,0.0185999999999999
H2O-IMID5,Group3,consensus,142,35.498999999999995,143,True,0.9527738650775649,0.0011003666865600145,0.01421537267944386,0.001000000000000073,3.3098110915095873,1.3590339261829276,4.996877838612892,BAD: Low R²: 0.945 < 0.95,0.0185999999999999
LB-CISPERM1,Group4,first_peak,323,80.7477988888889,324,True,0.8785212599336476,0.015527110406969306,0.5841999999999856,0.009448175397856164,61.29625521790839,35.77341074523156,17.021320050854026,BAD: Low R²: 0.788 < 0.95; High A error: 68.7% > 20.0%; High mu error: 24.8% > 20.0%,0.0193466666666667
LB-CISPERM1,Group4,stationary_phase,381,95.2474111111111,382,True,0.9775413122857525,0.014368141685914371,0.8241251042699123,0.011415218839913213,64.28930868288086,10.158994240766459,3.7573626051413505,BAD: Low R²: 0.788 < 0.95; High A error: 68.7% > 20.0%; High mu error: 24.8% > 20.0%,0.0193466666666667
LB-CISPERM1,Group4,adaptive_r2,380,94.99742027777778,381,True,0.9770769605308113,0.014380759179566178,0.8395899699058841,0.011496736342369477,64.45183401012953,10.590206719333434,4.020168474569416,BAD: Low R²: 0.788 < 0.95; High A error: 68.7% > 20.0%; High mu error: 24.8% > 20.0%,0.0193466666666667
LB-CISPERM1,Group4,gp_derivative,343,85.74766361111111,344,True,0.9412908683807648,0.015062384418894719,0.7549999999997612,0.011407998082103694,63.906014604967574,23.249142690364142,10.735362430997762,BAD: Low R²: 0.788 < 0.95; High A error: 68.7% > 20.0%; High mu error: 24.8% > 20.0%,0.0193466666666667
LB-CISPERM1,Group4,changepoint,310,77.49788666666666,311,True,0.7926678977383619,0.01568332235645164,0.46889999999999993,0.007529576175360772,58.6303599664851,48.85534365606192,23.762775116895277,BAD: Low R²: 0.788 < 0.95; High A error: 68.7% > 20.0%; High mu error: 24.8% > 20.0%,0.0193466666666667
LB-CISPERM1,Group4,consensus,343,85.74766361111111,344,True,0.9412908683807648,0.015062384418894719,0.7549999999997612,0.011407998082103694,63.906014604967574,23.249142690364142,10.735362430997762,BAD: Low R²: 0.788 < 0.95; High A error: 68.7% > 20.0%; High mu error: 24.8% > 20.0%,0.0193466666666667
